generation,kappa_mean,kappa_median,kappa_sd,kappa_min,kappa_max,kappa_q25,kappa_q75,mean_fitness,n_pop
335,0.7313,0.7316,0.017,0.6876,0.7699,0.7176,0.7438,1.0042,100
336,0.728,0.7265,0.0157,0.6933,0.7767,0.7163,0.7385,1.0048,100
337,0.7293,0.7307,0.0145,0.6919,0.761,0.7198,0.7409,1.0054,100
338,0.7312,0.7288,0.0141,0.7012,0.7641,0.7205,0.7413,1.0054,100
339,0.7282,0.7274,0.0155,0.6938,0.7608,0.7176,0.7408,1.0047,100
340,0.7296,0.7301,0.0164,0.6789,0.767,0.7193,0.7403,1.0048,100
341,0.7308,0.7297,0.0153,0.6942,0.7631,0.721,0.7422,1.0051,100
342,0.7302,0.7284,0.0134,0.6966,0.7652,0.7222,0.7409,1.0061,100
343,0.7305,0.7319,0.0157,0.686,0.7728,0.7195,0.7412,1.0048,100
344,0.7308,0.7291,0.0161,0.6928,0.7719,0.719,0.7399,1.0046,100
345,0.7318,0.7327,0.0131,0.6984,0.76,0.7225,0.7406,1.006,100
346,0.7287,0.7289,0.0148,0.6974,0.7667,0.7187,0.7404,1.0053,100
347,0.7318,0.732,0.0131,0.7037,0.7653,0.7221,0.7415,1.0061,100
348,0.7312,0.7307,0.015,0.6969,0.7655,0.7206,0.7418,1.0053,100
349,0.7274,0.7271,0.0145,0.6945,0.7619,0.7175,0.7369,1.0055,100
350,0.7266,0.7264,0.0152,0.6938,0.7725,0.7152,0.7361,1.0051,100
351,0.7306,0.7309,0.0148,0.6974,0.7756,0.7212,0.7411,1.0055,100
352,0.7327,0.7342,0.0151,0.6992,0.7669,0.7213,0.7429,1.0048,100
353,0.7307,0.7291,0.0135,0.6972,0.7625,0.7218,0.7388,1.0061,100
354,0.7285,0.7277,0.0147,0.6995,0.7615,0.7168,0.7398,1.0049,100
355,0.7309,0.7315,0.0148,0.6984,0.7655,0.7221,0.742,1.0053,100
356,0.7309,0.7306,0.0131,0.6907,0.7639,0.7237,0.739,1.0064,100
357,0.733,0.7327,0.0132,0.6924,0.7621,0.7248,0.7401,1.0061,100
358,0.7296,0.7304,0.0134,0.6977,0.7588,0.7195,0.7386,1.006,100
359,0.7302,0.7316,0.0132,0.6937,0.7723,0.7229,0.7377,1.0064,100
360,0.7318,0.7336,0.0152,0.6943,0.7749,0.7206,0.7412,1.0052,100
361,0.7303,0.7318,0.0156,0.688,0.7688,0.7203,0.742,1.005,100
362,0.7305,0.7303,0.0124,0.7038,0.7577,0.7219,0.7388,1.0063,100
363,0.7272,0.7268,0.0149,0.6918,0.7589,0.7145,0.7368,1.0052,100
364,0.7307,0.7302,0.0128,0.7063,0.758,0.7207,0.7392,1.0062,100
365,0.7313,0.7316,0.0128,0.6931,0.7537,0.7209,0.7421,1.0059,100
366,0.7283,0.7292,0.0131,0.6964,0.7592,0.7186,0.7378,1.006,100
367,0.7309,0.7307,0.0136,0.7051,0.7884,0.7214,0.7381,1.0062,100
368,0.7314,0.7311,0.0133,0.7002,0.7741,0.7219,0.7397,1.0061,100
369,0.7295,0.7309,0.014,0.693,0.7609,0.7192,0.7369,1.0058,100
370,0.7293,0.7294,0.0127,0.7016,0.7629,0.7196,0.7386,1.0062,100
371,0.73,0.7302,0.0128,0.701,0.759,0.7193,0.7379,1.0062,100
372,0.7294,0.7292,0.0126,0.6824,0.7585,0.7198,0.7382,1.0064,100
373,0.7296,0.7284,0.0127,0.707,0.7631,0.7199,0.7378,1.0062,100
374,0.7289,0.7304,0.0126,0.702,0.7593,0.7179,0.7386,1.0061,100
375,0.729,0.7293,0.0118,0.6917,0.7647,0.7211,0.7363,1.0069,100
